0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:12:09 +0700] "GET /WebBanHang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:40 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:41 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:47 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:49 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:51 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jul/2023:21:24:53 +0700] "GET /WebBanHang/san-pham HTTP/1.1" 404 682
